Education,Education_Level,Total_Consumption,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
Graduation,3,1691,1017,33,417,108,100,16
Graduation,3,25,6,2,9,2,1,5
2n Cycle,2,809,448,21,125,52,101,62
Graduation,3,895,504,23,117,179,28,44
PhD,5,484,226,22,133,41,31,31
PhD,5,413,239,3,141,0,7,23
2n Cycle,2,331,90,38,67,33,36,67
Graduation,3,25,7,2,8,3,2,3
PhD,5,13,4,2,5,2,0,0
Graduation,3,115,16,17,19,20,21,22
Graduation,3,16,10,3,3,0,0,0
Master,4,92,68,0,16,0,0,8
Graduation,3,52,35,0,13,2,0,2
Graduation,3,1464,575,80,428,208,93,80
Graduation,3,441,315,0,31,4,0,91
PhD,5,283,182,2,49,17,13,20
PhD,5,747,561,14,113,10,14,35
Graduation,3,1870,587,51,932,180,34,86
Graduation,3,165,94,1,33,13,12,12
Graduation,3,1941,908,43,735,40,194,21
Basic,1,839,228,122,122,208,129,30
Graduation,3,1655,995,112,417,42,48,41
2n Cycle,2,23,11,1,2,2,1,6
Graduation,3,66,3,3,14,15,21,10
Graduation,3,37,12,1,16,4,1,3
Graduation,3,21,17,0,2,0,0,2
Graduation,3,22,8,0,5,0,3,6
Graduation,3,78,22,4,17,12,10,13
Master,4,79,14,10,29,4,7,15
Graduation,3,265,106,27,68,52,7,5
Master,4,1175,820,57,242,45,0,11
PhD,5,1305,753,43,226,69,10,204
Master,4,46,13,3,17,7,3,3
Graduation,3,25,9,1,3,0,4,8
Graduation,3,46,19,3,6,4,2,12
Master,4,874,520,8,223,32,49,42
2n Cycle,2,100,5,17,17,13,14,34
PhD,5,930,618,44,215,0,17,36
Graduation,3,868,315,35,322,46,7,143
Graduation,3,45,15,1,23,0,5,1
Graduation,3,1260,384,60,364,119,101,232
Graduation,3,414,110,29,92,28,10,145
Graduation,3,392,208,17,76,36,17,38
Graduation,3,1109,555,82,257,93,61,61
Graduation,3,639,240,90,216,63,6,24
Graduation,3,79,11,0,36,15,5,12
Graduation,3,1665,848,154,323,201,61,78
Graduation,3,692,202,47,197,55,42,149
Graduation,3,1392,433,89,650,16,102,102
Graduation,3,44,6,6,15,10,5,2
Master,4,50,37,0,7,3,0,3
Graduation,3,467,167,37,64,49,34,116
Graduation,3,223,45,7,99,4,25,43
Graduation,3,158,129,0,21,0,1,7
Graduation,3,1211,713,0,264,120,80,34
Graduation,3,1575,676,161,426,210,44,58
2n Cycle,2,1208,450,26,535,73,98,26
Graduation,3,43,22,2,12,0,2,5
Graduation,3,527,367,4,51,6,4,95
Graduation,3,932,526,35,214,69,53,35
Master,4,71,51,0,16,0,0,4
Graduation,3,54,25,0,11,3,0,15
Graduation,3,129,28,6,27,12,17,39
Graduation,3,1615,958,159,447,20,0,31
PhD,5,1034,532,88,168,69,44,133
Graduation,3,1088,724,17,143,0,8,196
Master,4,721,375,42,48,94,66,96
Graduation,3,137,39,0,56,20,8,14
PhD,5,47,23,0,15,0,2,7
PhD,5,1244,587,54,348,71,54,130
Graduation,3,41,29,1,11,0,0,0
Graduation,3,1174,757,80,217,29,80,11
Graduation,3,993,544,35,133,23,151,107
Graduation,3,100,40,15,15,17,6,7
PhD,5,1680,1245,33,332,21,33,16
Graduation,3,98,19,1,20,16,14,28
Graduation,3,48,16,3,15,2,1,11
Graduation,3,519,376,4,94,12,9,24
Graduation,3,715,184,178,178,103,39,33
Graduation,3,37,15,0,11,0,2,9
PhD,5,653,124,83,267,85,59,35
Graduation,3,1455,627,120,414,121,80,93
Graduation,3,602,180,60,241,13,54,54
Master,4,26,14,0,4,0,0,8
Basic,1,102,3,3,24,34,7,31
Graduation,3,97,71,1,16,0,0,9
Master,4,207,161,0,22,0,0,24
Graduation,3,176,8,26,46,38,9,49
Graduation,3,450,264,0,21,12,6,147
Graduation,3,433,293,6,23,13,6,92
Graduation,3,1366,758,12,385,33,89,89
Master,4,1564,532,126,490,164,126,126
Graduation,3,1001,656,38,161,62,47,37
2n Cycle,2,961,196,25,607,67,17,49
Graduation,3,1518,835,73,380,114,73,43
Graduation,3,56,16,11,15,2,0,12
Master,4,22,9,1,5,2,1,4
Master,4,400,229,7,140,10,3,11
Basic,1,26,0,1,4,15,1,5
Graduation,3,350,121,24,124,24,15,42
Graduation,3,1216,471,102,125,212,61,245
Master,4,874,520,8,223,32,49,42
PhD,5,40,26,1,10,2,0,1
Graduation,3,1367,240,132,445,250,192,108
Graduation,3,264,178,4,26,8,4,44
Master,4,2053,1486,55,278,49,0,185
Graduation,3,1376,1115,12,128,33,12,76
Master,4,45,29,0,8,2,0,6
PhD,5,976,529,0,356,63,28,0
2n Cycle,2,51,13,3,8,7,4,16
PhD,5,1264,934,24,230,16,24,36
Basic,1,75,2,7,11,16,12,27
Basic,1,57,4,12,5,3,16,17
Master,4,140,62,1,44,6,5,22
Graduation,3,497,158,35,179,0,0,125
Master,4,266,173,2,39,3,2,47
Graduation,3,2006,830,59,968,51,79,19
Graduation,3,615,189,10,253,56,43,64
PhD,5,1021,728,17,133,11,8,124
Graduation,3,22,7,2,9,2,0,2
Master,4,133,35,4,17,7,6,64
Master,4,437,188,3,180,20,3,43
Master,4,1013,742,28,152,25,9,57
2n Cycle,2,57,0,7,5,26,2,17
PhD,5,1038,750,71,174,13,10,20
Master,4,1573,816,42,450,55,56,154
Graduation,3,28,5,2,8,2,2,9
Master,4,123,37,5,56,12,8,5
2n Cycle,2,13,4,0,4,0,0,5
Graduation,3,132,99,2,11,4,0,16
2n Cycle,2,732,176,72,98,136,21,229
Graduation,3,66,54,0,10,0,0,2
Graduation,3,1631,997,15,414,99,30,76
Graduation,3,608,356,0,107,19,9,117
PhD,5,1822,1311,0,359,46,89,17
PhD,5,1282,890,63,292,0,25,12
Graduation,3,8,4,0,2,0,0,2
Graduation,3,43,17,0,14,7,3,2
Master,4,1931,960,0,883,50,38,0
PhD,5,8,2,1,2,1,1,1
Basic,1,103,1,3,2,20,30,47
Master,4,1169,240,67,500,199,0,163
Graduation,3,395,301,11,61,4,7,11
Graduation,3,258,154,0,50,6,11,37
Graduation,3,25,2,3,6,4,1,9
Master,4,185,104,12,48,4,12,5
Master,4,180,70,3,37,4,2,64
Graduation,3,22,2,0,9,3,6,2
Graduation,3,44,23,2,11,3,1,4
Graduation,3,94,43,4,12,8,0,27
Graduation,3,81,4,24,11,16,1,25
Graduation,3,798,654,7,92,0,15,30
Graduation,3,1334,912,72,170,47,36,97
PhD,5,38,25,0,8,0,1,4
Master,4,61,24,4,22,0,2,9
PhD,5,300,141,11,114,15,14,5
PhD,5,88,71,0,13,3,1,0
Master,4,54,35,1,16,0,1,1
Graduation,3,1782,496,32,849,229,48,128
Graduation,3,68,9,9,11,13,10,16
Graduation,3,258,154,0,50,6,11,37
Master,4,31,9,1,5,4,5,7
2n Cycle,2,66,26,3,23,4,7,3
2n Cycle,2,174,77,8,44,10,10,25
Master,4,28,11,2,7,4,2,2
PhD,5,731,576,7,115,19,7,7
Graduation,3,274,89,15,89,34,42,5
PhD,5,1701,1013,30,399,60,46,153
Graduation,3,312,224,12,48,4,12,12
Graduation,3,414,200,19,111,50,15,19
2n Cycle,2,1565,570,73,614,133,102,73
Basic,1,29,1,3,3,8,1,13
PhD,5,94,62,1,20,4,0,7
Graduation,3,1338,531,69,300,150,138,150
Master,4,1092,162,28,818,0,28,56
Graduation,3,1479,675,144,133,94,192,241
Graduation,3,54,23,4,10,0,2,15
Graduation,3,568,492,5,32,13,5,21
2n Cycle,2,1199,918,10,129,13,0,129
Graduation,3,873,224,155,155,192,93,54
Graduation,3,1213,572,19,286,50,38,248
Graduation,3,731,626,0,70,0,7,28
PhD,5,2043,1074,37,518,193,92,129
Master,4,1893,741,68,689,224,68,103
PhD,5,424,322,3,50,4,3,42
Graduation,3,575,254,10,44,30,10,227
Graduation,3,257,116,6,82,6,6,41
Graduation,3,56,22,2,18,0,2,12
PhD,5,542,516,0,21,0,0,5
Graduation,3,125,14,36,11,3,26,35
Basic,1,69,2,8,10,12,14,23
2n Cycle,2,40,28,0,9,3,0,0
Graduation,3,1016,530,142,217,62,9,56
Master,4,907,519,50,167,130,0,41
PhD,5,1566,611,76,749,59,45,26
Master,4,1169,240,67,500,199,0,163
Basic,1,46,4,9,12,11,2,8
Master,4,1644,671,47,655,145,111,15
Graduation,3,59,23,1,7,0,4,24
Graduation,3,17,9,1,2,3,2,0
2n Cycle,2,1853,556,54,845,202,133,63
Graduation,3,1528,833,80,363,52,26,174
Master,4,35,12,0,13,4,2,4
Graduation,3,141,56,7,48,10,2,18
Graduation,3,546,293,8,124,11,4,106
Graduation,3,500,297,0,38,13,0,152
Graduation,3,61,39,1,16,2,0,3
Basic,1,106,5,11,16,21,8,45
Graduation,3,704,266,21,300,65,8,44
PhD,5,424,322,3,50,4,3,42
Graduation,3,849,366,124,156,71,78,54
Graduation,3,85,32,0,8,23,4,18
Graduation,3,199,158,0,23,0,0,18
Graduation,3,1147,269,129,495,182,43,29
Graduation,3,54,41,0,10,0,0,3
Basic,1,43,3,3,3,15,4,15
Graduation,3,53,33,0,5,0,0,15
2n Cycle,2,521,302,29,131,32,0,27
Graduation,3,1623,519,71,860,93,27,53
Master,4,45,23,2,17,2,1,0
2n Cycle,2,1435,594,51,631,72,55,32
Graduation,3,32,12,4,7,1,3,5
Graduation,3,16,4,2,5,0,0,5
Graduation,3,52,18,3,19,3,3,6
PhD,5,1234,332,194,377,149,125,57
Graduation,3,15,5,1,8,0,0,1
Master,4,415,171,3,129,26,24,62
Graduation,3,470,270,31,88,11,48,22
Master,4,1438,712,26,538,69,13,80
2n Cycle,2,53,2,8,11,3,8,21
Master,4,51,21,12,12,0,3,3
PhD,5,679,580,6,58,8,0,27
Graduation,3,586,368,24,68,38,0,88
Graduation,3,653,457,5,106,15,17,53
Graduation,3,468,229,7,137,4,0,91
2n Cycle,2,1679,32,2,1607,12,4,22
Graduation,3,50,3,2,8,20,0,17
Graduation,3,84,24,3,26,7,1,23
Master,4,1049,853,10,143,13,10,20
Graduation,3,22,5,1,6,3,4,3
Graduation,3,62,9,14,18,8,1,12
Graduation,3,30,3,3,7,6,2,9
Graduation,3,1341,709,43,182,42,118,247
PhD,5,444,406,0,30,0,0,8
Graduation,3,1241,908,48,217,32,12,24
Master,4,843,428,30,214,80,30,61
PhD,5,172,84,3,61,2,1,21
